Article Reference,Article Title,Book Reference,Article Link,Book Link,Plant Genus,Plant Species,Plant Cultivar,Plant Tissue,Organic or Inorganic ,Phyto Process ,Contaminant Type,Contaminant,Contaminant Abbreviation,Removal Rate,Removal Rate Units,Timeline,Notes,Plant Category,Soil Ph,Soil type,Moisture,Shade,Height,Growth Rate,US Hardiness Zone,Plant Image,Contaminant Image,Geography,Seasonal Interest Spring,Seasonal Interest Summer,Seasonal Interest Fall,Seasonal Interest Winter
Li 2001,Changes in soil solution Zn and pH and uptake of Zn by arbuscular mycorrhizal red clover in Zn-contaminated soil,,10.1016/s0045-6535(00)00126-0,,Trifolium,pratense,Merwe,roots,inorganic,"phytoextraction, phytostabilization and phytometabolism",heavy metal,zinc,Zn,721.8,mg/kg,,values are from  non-AM plants with the highest Zn concentration (1000 mg/kg),herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.6 m,M,5 - 9,,,,green ground cover,green ground cover,,
"Cook and Hesterberg, 2012 Fagiolo and Ferro, 2004",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Acer,platanoides,,,organic,"phytovolatilzation, phytodegradation and Rhizodegradation",petroleum,"benzene, toluene, ethyl benzene, and xylene",BTEX,,,,,tree,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline soils",LMH,M,SN,21,F,3 - 7,,,,green bloom,green foliage,"foliage of yellows, oranges, and browns.","form is rounded, spreading or horizontal, upright or erect."
"Tischer and Hubner, 2002",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Alnus,glutinosa,,,organic,"phytovolatilzation, phytodegradation and Rhizodegradation",petroleum,motor oil hydrocarbon,MOH,,,,,tree,"mildly acid, neutral and basic (mildly alkaline) soils",MH,MWe,SN,25 m,F,3 - 7,,,,bloom,green foliage,catkins,tall form
"Cook and Hesterberg, 2012 Rezek et al., 2009",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Betula,pendula,,,organic,rhizodegradation and phytodegradation,petroleum,polycyclic aromatic hydrocarbons,PAH,,,,,tree,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid soils",LMH,DM,N,20,F,2 - 6,,,,brown bloom,green foliage. seeds ripen.,foligae of gold and yellow,"form is oval, pyramidal, weeping"
"Kilakow, 2006c, Palmrith et al., 2006",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Poa,pratensis,,,organic,,petroleum,total petroleum hydrocarbon,TPH,,,,,grasses and sedges,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,15-100 cm,M,3 - 9,,,,,bloom,,
"Kilakow, 2006c, Palmrith et al., 2006",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Poa,pratensis,,,organic,rhizodegradation and phytodegradation,petroleum,polycyclic aromatic hydrocarbons,PAH,,,,,grasses and sedges,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,15-100 cm,M,3 - 9,,,,,bloom,,
"Liužinas et al., 2003",,"Fitoremediācijas izmantošanas iespējas Latvijā, 2011, Valujeva, Grīnfelde and Straupe",http://www.murzl.llu.lv/?p=528,,Tanacetum,vulgare,,,organic,"phytovolatilzation, phytodegradation and Rhizodegradation",petroleum,mazuts,Aliphatic petrochemicals,,,,,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,DM,N,40-160 cm,F,3 - 9,,,,,yellow bloom,yellow bloom,
"Palmroth et al., 2002",,"Fitoremediācijas izmantošanas iespējas Latvijā, 2011, Valujeva, Grīnfelde and Straupe",http://www.murzl.llu.lv/?p=528,,Pinus,sylvestris,,,organic,"phytovolatilzation, phytodegradation and Rhizodegradation",petroleum,diesel,Aliphatic petrochemicals,,,,,tree,"mildly acid, neutral and basic (mildly alkaline)",LM,DMWe,SN,20-30 m,F,3 - 7,,,,yellow bloom,"form is oval, pyramidal","form is oval, pyramidal","form is oval, pyramidal"
"Liužinas et al., 2003",,"Fitoremediācijas izmantošanas iespējas Latvijā, 2011, Valujeva, Grīnfelde and Straupe",http://www.murzl.llu.lv/?p=528,,Tussilago,farfara,,,organic,"phytovolatilzation, phytodegradation and Rhizodegradation",petroleum,mazuts,Aliphatic petrochemicals,,,,,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline soils",LMH,M,SN,5-15 cm,F,4 - 8,,,,yellow flowers,,,yellow flowers
"Liužinas et al., 2003",,"Fitoremediācijas izmantošanas iespējas Latvijā, 2011, Valujeva, Grīnfelde and Straupe",http://www.murzl.llu.lv/?p=528,,Artemisia,campestris,,,organic,"phytovolatilzation, phytodegradation and Rhizodegradation",petroleum,mazuts,Aliphatic petrochemicals,,,,,herbaceous,neutral and basic (mildly alkaline) soils,LM,DM,SN,30-150 cm,,4 - 8,,,,,yellow flowers,yellow flowers,
"Pivetz, 2001",,"Fitoremediācijas izmantošanas iespējas Latvijā, 2011, Valujeva, Grīnfelde and Straupe",http://www.murzl.llu.lv/?p=528,,Salix,schwerinii x viminalis,,,organic,"phytovolatilzation, phytodegradation and Rhizodegradation",petroleum,mazuts,Aliphatic petrochemicals,,,,,tree,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,MWe,N,6 m,F,4 - 8,,,,flowers,seeds,foliage,from
"Applied Natural Sciences, Inc., 2997
Barac et al., 2009
Burken and Schnoor, 1997a
Coltrain,2004
Cook et al., 2010
Cook and Hesterberg, 2012
El-Gendy et al., 2009
Euliss et al., 2008
Fagiolo and Ferro, 2004
Ferro et al., 2013
Ferro, 2006
ITRC PHYTO 3
Kulakow, 2006b
Kulakow, 2006
Luce, 2006
Ma et al., 2004
Olderbak and Erickson, 2004
Palmroth et al., 2006
Spriggs et al., 2005
Tossell, 2006
Unterbrunner et al., 2007
Weishaar et al., 2009
Widdowson et al., 2005",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Populus,spp.,,,organic,,petroleum,,Aniline,,,,,tree,,LMH,M,N,varies,F,0 - 10,,,,flowers,,,
"Applied Natural Sciences, Inc., 2997
Barac et al., 2009
Burken and Schnoor, 1997a
Coltrain,2004
Cook et al., 2010
Cook and Hesterberg, 2012
El-Gendy et al., 2009
Euliss et al., 2008
Fagiolo and Ferro, 2004
Ferro et al., 2013
Ferro, 2006
ITRC PHYTO 3
Kulakow, 2006b
Kulakow, 2006
Luce, 2006
Ma et al., 2004
Olderbak and Erickson, 2004
Palmroth et al., 2006
Spriggs et al., 2005
Tossell, 2006
Unterbrunner et al., 2007
Weishaar et al., 2009
Widdowson et al., 2005",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Populus,spp.,,,organic,,petroleum,,Benzene,,,,,tree,,LMH,M,N,varies,F,0 - 10,,,,flowers,,,
"Applied Natural Sciences, Inc., 2997
Barac et al., 2009
Burken and Schnoor, 1997a
Coltrain,2004
Cook et al., 2010
Cook and Hesterberg, 2012
El-Gendy et al., 2009
Euliss et al., 2008
Fagiolo and Ferro, 2004
Ferro et al., 2013
Ferro, 2006
ITRC PHYTO 3
Kulakow, 2006b
Kulakow, 2006
Luce, 2006
Ma et al., 2004
Olderbak and Erickson, 2004
Palmroth et al., 2006
Spriggs et al., 2005
Tossell, 2006
Unterbrunner et al., 2007
Weishaar et al., 2009
Widdowson et al., 2005",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Populus,spp.,,,organic,,petroleum,,Ethylbenzene,,,,,tree,,LMH,M,N,varies,F,0 - 10,,,,flowers,,,
"Applied Natural Sciences, Inc., 2997
Barac et al., 2009
Burken and Schnoor, 1997a
Coltrain,2004
Cook et al., 2010
Cook and Hesterberg, 2012
El-Gendy et al., 2009
Euliss et al., 2008
Fagiolo and Ferro, 2004
Ferro et al., 2013
Ferro, 2006
ITRC PHYTO 3
Kulakow, 2006b
Kulakow, 2006
Luce, 2006
Ma et al., 2004
Olderbak and Erickson, 2004
Palmroth et al., 2006
Spriggs et al., 2005
Tossell, 2006
Unterbrunner et al., 2007
Weishaar et al., 2009
Widdowson et al., 2005",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Populus,spp.,,,organic,,petroleum,,Phenol,,,,,tree,,LMH,M,N,varies,F,0 - 10,,,,flowers,,,
"Applied Natural Sciences, Inc., 2997
Barac et al., 2009
Burken and Schnoor, 1997a
Coltrain,2004
Cook et al., 2010
Cook and Hesterberg, 2012
El-Gendy et al., 2009
Euliss et al., 2008
Fagiolo and Ferro, 2004
Ferro et al., 2013
Ferro, 2006
ITRC PHYTO 3
Kulakow, 2006b
Kulakow, 2006
Luce, 2006
Ma et al., 2004
Olderbak and Erickson, 2004
Palmroth et al., 2006
Spriggs et al., 2005
Tossell, 2006
Unterbrunner et al., 2007
Weishaar et al., 2009
Widdowson et al., 2005",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Populus,spp.,,,organic,,petroleum,,Toluene,,,,,tree,,LMH,M,N,varies,F,0 - 10,,,,flowers,,,
"Applied Natural Sciences, Inc., 2997
Barac et al., 2009
Burken and Schnoor, 1997a
Coltrain,2004
Cook et al., 2010
Cook and Hesterberg, 2012
El-Gendy et al., 2009
Euliss et al., 2008
Fagiolo and Ferro, 2004
Ferro et al., 2013
Ferro, 2006
ITRC PHYTO 3
Kulakow, 2006b
Kulakow, 2006
Luce, 2006
Ma et al., 2004
Olderbak and Erickson, 2004
Palmroth et al., 2006
Spriggs et al., 2005
Tossell, 2006
Unterbrunner et al., 2007
Weishaar et al., 2009
Widdowson et al., 2005",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Populus,spp.,,,organic,,petroleum,, m-Xylene,,,,,tree,,LMH,M,N,varies,F,0 - 10,,,,flowers,,,
"Applied Natural Sciences, Inc., 2997
Barac et al., 2009
Burken and Schnoor, 1997a
Coltrain,2004
Cook et al., 2010
Cook and Hesterberg, 2012
El-Gendy et al., 2009
Euliss et al., 2008
Fagiolo and Ferro, 2004
Ferro et al., 2013
Ferro, 2006
ITRC PHYTO 3
Kulakow, 2006b
Kulakow, 2006
Luce, 2006
Ma et al., 2004
Olderbak and Erickson, 2004
Palmroth et al., 2006
Spriggs et al., 2005
Tossell, 2006
Unterbrunner et al., 2007
Weishaar et al., 2009
Widdowson et al., 2005",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Populus,spp.,,,organic,rhizodegradation and phytodegradation,petroleum,,PAH,,,,,tree,,LMH,M,N,varies,F,0 - 10,,,,flowers,,,
"Applied Natural Sciences, Inc., 2997
Barac et al., 2009
Burken and Schnoor, 1997a
Coltrain,2004
Cook et al., 2010
Cook and Hesterberg, 2012
El-Gendy et al., 2009
Euliss et al., 2008
Fagiolo and Ferro, 2004
Ferro et al., 2013
Ferro, 2006
ITRC PHYTO 3
Kulakow, 2006b
Kulakow, 2006
Luce, 2006
Ma et al., 2004
Olderbak and Erickson, 2004
Palmroth et al., 2006
Spriggs et al., 2005
Tossell, 2006
Unterbrunner et al., 2007
Weishaar et al., 2009
Widdowson et al., 2005",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Populus,spp.,,,organic,"rhizodegradation, phytodegradation and phytovolatilization",petroleum,,BTEX,,,,,tree,,LMH,M,N,varies,F,0 - 10,,,,flowers,,,
"Applied Natural Sciences, Inc., 2997
Barac et al., 2009
Burken and Schnoor, 1997a
Coltrain,2004
Cook et al., 2010
Cook and Hesterberg, 2012
El-Gendy et al., 2009
Euliss et al., 2008
Fagiolo and Ferro, 2004
Ferro et al., 2013
Ferro, 2006
ITRC PHYTO 3
Kulakow, 2006b
Kulakow, 2006
Luce, 2006
Ma et al., 2004
Olderbak and Erickson, 2004
Palmroth et al., 2006
Spriggs et al., 2005
Tossell, 2006
Unterbrunner et al., 2007
Weishaar et al., 2009
Widdowson et al., 2005",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Populus,spp.,,,organic,phytodegradation and phytovolatilization,petroleum,,MTBE,,,,,tree,,LMH,M,N,varies,F,0 - 10,,,,flowers,,,
"Applied Natural Sciences, Inc., 2997
Barac et al., 2009
Burken and Schnoor, 1997a
Coltrain,2004
Cook et al., 2010
Cook and Hesterberg, 2012
El-Gendy et al., 2009
Euliss et al., 2008
Fagiolo and Ferro, 2004
Ferro et al., 2013
Ferro, 2006
ITRC PHYTO 3
Kulakow, 2006b
Kulakow, 2006
Luce, 2006
Ma et al., 2004
Olderbak and Erickson, 2004
Palmroth et al., 2006
Spriggs et al., 2005
Tossell, 2006
Unterbrunner et al., 2007
Weishaar et al., 2009
Widdowson et al., 2005",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Populus,spp.,,,organic,,petroleum,,DRO,,,,,tree,,LMH,M,N,varies,F,0 - 10,,,,flowers,,,
"Applied Natural Sciences, Inc., 2997
Barac et al., 2009
Burken and Schnoor, 1997a
Coltrain,2004
Cook et al., 2010
Cook and Hesterberg, 2012
El-Gendy et al., 2009
Euliss et al., 2008
Fagiolo and Ferro, 2004
Ferro et al., 2013
Ferro, 2006
ITRC PHYTO 3
Kulakow, 2006b
Kulakow, 2006
Luce, 2006
Ma et al., 2004
Olderbak and Erickson, 2004
Palmroth et al., 2006
Spriggs et al., 2005
Tossell, 2006
Unterbrunner et al., 2007
Weishaar et al., 2009
Widdowson et al., 2005",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Populus,spp.,,,organic,,petroleum,,TPH,,,,,tree,,LMH,M,N,varies,F,0 - 10,,,,flowers,,,
"Banks and Schwab, 1998 Cook & Hesterberg, 2012, Flathman and Lanza, 2998, ITRC PHYTO 3, Johnson et al., 2005, Kulakow, 2006c",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Trifolium,rapens,,,organic,,petroleum,,Fluoranthene,,,,,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline soils",LMH,M,N,.1 m,M,4 - 8,,,,,white flowers and ground cover,ground cover,
"Banks and Schwab, 1998 Cook & Hesterberg, 2012, Flathman and Lanza, 2998, ITRC PHYTO 3, Johnson et al., 2005, Kulakow, 2006c",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Trifolium,rapens,,,organic,,petroleum,,Phenanthrene,,,,,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline soils",LMH,M,N,.1 m,M,4 - 8,,,,,white flowers and ground cover,ground cover,
"Banks and Schwab, 1998 Cook & Hesterberg, 2012, Flathman and Lanza, 2998, ITRC PHYTO 3, Johnson et al., 2005, Kulakow, 2006c",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Trifolium,rapens,,,organic,,petroleum,,Pyrene,,,,,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline soils",LMH,M,N,.1 m,M,4 - 8,,,,,white flowers and ground cover,ground cover,
"Banks and Schwab, 1998 Cook & Hesterberg, 2012, Flathman and Lanza, 2998, ITRC PHYTO 3, Johnson et al., 2005, Kulakow, 2006c",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Trifolium,rapens,,,organic,,petroleum,,TPH,,,,,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline soils",LMH,M,N,.1 m,M,4 - 8,,,,,white flowers and ground cover,ground cover,
"Banks and Schwab, 1998 Cook & Hesterberg, 2012, Flathman and Lanza, 2998, ITRC PHYTO 3, Johnson et al., 2005, Kulakow, 2006c",,"Phyto, 2015 Kennen and Kirkwood",https://www.taylorfrancis.com/books/mono/10.4324/9781315746661/phyto-niall-kirkwood-kate-kennen,,Trifolium,rapens,,,organic,rhizodegradation and phytodegradation,petroleum,,PAH,,,,,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline soils",LMH,M,N,.1 m,M,4 - 8,,,,,white flowers and ground cover,ground cover,
"Kadlec, Knight, 1996; EPA, 2004",,"Fitoremediācijas izmantošanas iespējas Latvijā, 2011, Valujeva, Grīnfelde and Straupe",http://www.murzl.llu.lv/?p=528,,Typha,latifolia,,,inorganic,phytoextraction and phytostabaliztion,heavy metal,arsenic,As,,,,,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,WeWa,N,1.2-2.2 m,F,3 - 10,,,,,brown bloom,,
"Kadlec, Knight, 1996; EPA, 2004",,"Fitoremediācijas izmantošanas iespējas Latvijā, 2011, Valujeva, Grīnfelde and Straupe",http://www.murzl.llu.lv/?p=528,,Typha,latifolia,,,inorganic,phytostabilization,heavy metal,lead,Pb,,,,,herbaceous,,,,,1.2-2.2 m,,,,,,,,,
"Kadlec, Knight, 1996; EPA, 2004",,"Fitoremediācijas izmantošanas iespējas Latvijā, 2011, Valujeva, Grīnfelde and Straupe",http://www.murzl.llu.lv/?p=528,,Typha,latifolia,,,inorganic,,,plutonium,Pu,,,,,herbaceous,,,,,1.2-2.2 m,,,,,,,,,
"Kadlec, Knight, 1996; EPA, 2004",,"Fitoremediācijas izmantošanas iespējas Latvijā, 2011, Valujeva, Grīnfelde and Straupe",http://www.murzl.llu.lv/?p=528,,Typha,latifolia,,,inorganic,phytometabolism and phytostabilization,heavy metal,copper,Cu,,,,,herbaceous,,,,,1.2-2.2 m,,,,,,,,,
"Kadlec, Knight, 1996; EPA, 2004",,"Fitoremediācijas izmantošanas iespējas Latvijā, 2011, Valujeva, Grīnfelde and Straupe",http://www.murzl.llu.lv/?p=528,,Typha,latifolia,,,inorganic,phytostabilization,heavy metal,manganese,Mn,,,,,herbaceous,,,,,1.2-2.2 m,,,,,,,,,
"Kadlec, Knight, 1996; EPA, 2004",,"Fitoremediācijas izmantošanas iespējas Latvijā, 2011, Valujeva, Grīnfelde and Straupe",http://www.murzl.llu.lv/?p=528,,Typha,latifolia,,,inorganic,phytostabilization,heavy metal,chromium,Cr,,,,,herbaceous,,,,,1.2-2.2 m,,,,,,,,,
"McCutcheon, Schnoor, 2003",,Fitoremediācijas izmantošanas iespējas Latvijā,http://www.murzl.llu.lv/?p=528,,Lolium,multiflorum,,,inorganic,phytostabilization,radio-nuclides,cesium,Cs,,,,,grasses and sedges,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.3 m,F,4 - 8,,,,,bloom,,
"McCutcheon, Schnoor, 2003",,Fitoremediācijas izmantošanas iespējas Latvijā,http://www.murzl.llu.lv/?p=528,,Lolium,multiflorum,,,inorganic,phytostabilization,heavy metal,chromium,Cr,,,,,grasses and sedges,"mildly acid, neutral and basic (mildly alkaline) soils",LMH,M,N,.3 m,F,4 - 8,,,,bloom,bloom,,
"McCutcheon, Schnoor, 2003",,Fitoremediācijas izmantošanas iespējas Latvijā,http://www.murzl.llu.lv/?p=528,,Sorghum,halepense,,,inorganic,phytostabilization,heavy metal,aluminum,Al,,,,,grasses and sedges,,LMH,DM,N,2 m,F,7 -10,,,,,bloom,bloom,
"McCutcheon, Schnoor, 2003",,Fitoremediācijas izmantošanas iespējas Latvijā,http://www.murzl.llu.lv/?p=528,,Sorghum,halepense,,,inorganic,phytoextraction and phytostabilization,heavy metal,arsenic,As,,,,,grasses and sedges,,LMH,DM,N,3 m,F,8 -10,,,,,bloom,bloom,
"McCutcheon, Schnoor, 2003",,Fitoremediācijas izmantošanas iespējas Latvijā,http://www.murzl.llu.lv/?p=528,,Sorghum,halepense,,,inorganic,phytostabilization,radio-nuclides,cesium,Cs,,,,,grasses and sedges,,LMH,DM,N,4 m,F,9 -10,,,,,bloom,bloom,
"McCutcheon, Schnoor, 2003",,Fitoremediācijas izmantošanas iespējas Latvijā,http://www.murzl.llu.lv/?p=528,,Sorghum,halepense,,,inorganic,phytometabolism and phytostabilization,heavy metal,copper,Cu,,,,,grasses and sedges,,LMH,DM,N,5 m,F,10 -10,,,,,bloom,bloom,
"McCutcheon, Schnoor, 2003",,Fitoremediācijas izmantošanas iespējas Latvijā,http://www.murzl.llu.lv/?p=528,,Sorghum,halepense,,,inorganic,phytostabilization,heavy metal,manganese,Mn,,,,,grasses and sedges,,LMH,DM,N,6 m,F,11 -10,,,,,bloom,bloom,
"McCutcheon, Schnoor, 2003",,Fitoremediācijas izmantošanas iespējas Latvijā,http://www.murzl.llu.lv/?p=528,,Sorghum,halepense,,,inorganic,"phytostabalization, phytometabolism and phytoextraction",heavy metal,nickel,Ni,,,,,grasses and sedges,,LMH,DM,N,7 m,F,12 -10,,,,,bloom,bloom,
"McCutcheon, Schnoor, 2003",,Fitoremediācijas izmantošanas iespējas Latvijā,http://www.murzl.llu.lv/?p=528,,Sorghum,halepense,,,inorganic,phytostabilization,radio-nuclides,uranium,U,,,,,grasses and sedges,,LMH,DM,N,8 m,F,13 -10,,,,,bloom,bloom,
"McCutcheon, Schnoor, 2003",,Fitoremediācijas izmantošanas iespējas Latvijā,http://www.murzl.llu.lv/?p=528,,Sorghum,halepense,,,inorganic,"phytoextraction, phytostabilization and phytometabolism",,zinc,Zn,,,,,grasses and sedges,,LMH,DM,N,9 m,F,14 -10,,,,,bloom,bloom,
,,,,,Achillea,millefolium,,,,,,,,,,,,herbaceous,,,,,,,,,,,,,,
,,,,,Hydrangea,,,,,,,,,,,,,shrub,,,,,,,,,,,,,,
,,,,,Cannabis,sativa,,,,,,,,,,,,herbaceous,neutral to alkaline,,,,"1,5-4 m",F,,,,,,,,
